Transaction_id,Customer_id,Product_id,Quality,Discount,Payment_mode,Sale_data
T001,C001,P001,2,5,UPI,01-07-2026
T002,C002,P002,3,10,Cash,02-07-2026
T003,C003,P003,1,0,Card,03-07-2026
T004,C004,P004,2,15,UPI,04-07-2026
T005,C005,P005,1,5,Cash,05-07-2026
T006,C006,P006,5,10,Card,06-07-2026
T007,C007,P007,2,0,UPI,07-07-2026
T008,C008,P008,3,5,Cash,08-07-2026
T009,C009,P009,1,10,Card,09-07-2026
T010,C010,P010,2,15,UPI,10-07-2026
T011,C011,P011,4,5,Cash,11-07-2026
T012,C012,P012,2,10,Card,12-07-2026
T013,C013,P013,1,0,UPI,13-07-2026
T014,C014,P014,3,5,Cash,14-07-2026
T015,C015,P015,2,10,Card,15-07-2026
T016,C016,P016,5,15,UPI,16-07-2026
T017,C017,P017,2,0,Cash,17-07-2026
T018,C018,P018,1,5,Card,18-07-2026
T019,C019,P019,3,10,UPI,19-07-2026
T020,C020,P020,2,5,Cash,20-07-2026
T021,C021,P021,4,15,Card,21-07-2026
T022,C022,P022,2,10,UPI,22-07-2026
T023,C023,P023,1,0,Cash,23-07-2026
T024,C024,P024,3,5,Card,24-07-2026
T025,C025,P005,2,10,UPI,25-07-2026
