interaction_id,user_id,song_id,play_count,liked,skipped,rating,device,session_duration_sec,timestamp,engagement_score,is_positive,age,gender,preferred_genre,preferred_language,song_name,artist,genre,language,duration_sec,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo_bpm
I000001,U0158,S0441,3,1,0,5,Web,152,46105.67721,7,1,37,Male,Pop,English,Song_0441,Artist_040,Classical,Hindi,268,17,0.439,0.719,-4.48,0.263,0.603,0.095,0.212,0.282,144.32
I000002,U0465,S0029,2,1,0,5,Web,35,45886.34834,6.5,1,25,Other,Lo-Fi,Tamil,Song_0029,Artist_064,Jazz,Telugu,180,92,0.893,0.401,-9.62,0.244,0.323,0.73,0.081,0.154,67.06
I000003,U0104,S0019,5,1,0,5,Desktop,31,46080.71146,8,1,48,Male,R&B,Hindi,Song_0019,Artist_049,Electronic,Hindi,211,21,0.405,0.534,-9.23,0.244,0.027,0.359,0.242,0.926,76.77
I000004,U0034,S0479,7,1,0,2,Mobile,86,45978.78517,6.9,0,30,Female,Pop,English,Song_0479,Artist_069,Country,Telugu,222,17,0.937,0.913,-2.1,0.221,0.632,0.423,0.498,0.217,103.68
I000005,U0102,S0073,9,1,0,3,Mobile,718,45918.96729,8.6,0,50,Male,Hip-Hop,English,Song_0073,Artist_039,Electronic,Telugu,270,66,0.411,0.69,-13.77,0.274,0.441,0.071,0.52,0.208,96.79
I000006,U0639,S0394,3,0,0,2,Tablet,814,46134.80331,2.9,0,36,Other,Lo-Fi,Hindi,Song_0394,Artist_089,Electronic,Tamil,200,56,0.446,0.526,-14.35,0.061,0.291,0.12,0.059,0.259,84.08
I000007,U0726,S0357,2,0,0,1,Desktop,341,45913.14384,1.7,0,34,Female,Classical,Hindi,Song_0357,Artist_001,Electronic,English,197,49,0.243,0.282,-5.79,0.06,0.54,0.228,0.4,0.193,154.46
I000008,U0325,S0394,4,0,0,3,Mobile,325,46068.44959,4.1,0,32,Female,Rock,English,Song_0394,Artist_089,Electronic,Tamil,200,56,0.446,0.526,-14.35,0.061,0.291,0.12,0.059,0.259,84.08
I000009,U0944,S0246,3,1,0,4,Mobile,360,46109.61716,6.3,1,41,Male,R&B,Tamil,Song_0246,Artist_043,Classical,English,167,96,0.601,0.868,-2.36,0.043,0.65,0.304,0.672,0.88,133.14
I000010,U0808,S0481,5,1,0,5,Mobile,697,45936.60419,8,1,44,Female,R&B,English,Song_0481,Artist_058,Hip-Hop,Tamil,157,88,0.54,0.324,-10.19,0.086,0.395,0.9,0.38,0.225,112.04
