song_id,song_name,artist,genre,language,duration_sec,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo_bpm
S0001,Song_0001,Artist_084,Classical,Hindi,277,1,0.346,0.732,-13.62,0.028,0.653,0.374,0.292,0.81,63.83
S0002,Song_0002,Artist_003,Classical,Hindi,169,26,0.785,0.196,-12.74,0.023,0.482,0.672,0.279,0.918,83.17
S0003,Song_0003,Artist_037,Hip-Hop,English,304,38,0.384,0.907,-6.03,0.041,0.741,0.084,0.482,0.923,188.24
S0004,Song_0004,Artist_040,Hip-Hop,English,315,38,0.312,0.733,-6.61,0.17,0.801,0.461,0.081,0.9,152.96
S0005,Song_0005,Artist_072,Pop,English,221,61,0.345,0.571,-3.4,0.259,0.555,0.508,0.669,0.558,139.9
S0006,Song_0006,Artist_040,Hip-Hop,English,214,44,0.342,0.516,-5.47,0.021,0.592,0.445,0.463,0.381,66.12
S0007,Song_0007,Artist_056,Hip-Hop,English,331,86,0.6,0.258,-8.39,0.282,0.276,0.659,0.547,0.057,174.28
S0008,Song_0008,Artist_023,Electronic,Telugu,262,44,0.859,0.392,-2.11,0.05,0.851,0.345,0.571,0.107,165.66
S0009,Song_0009,Artist_011,Electronic,English,173,74,0.262,0.871,-11.54,0.256,0.033,0.85,0.254,0.449,146.42
S0010,Song_0010,Artist_064,Hip-Hop,English,277,62,0.751,0.901,-4.17,0.155,0.338,0.434,0.392,0.421,104.09
S0011,Song_0011,Artist_008,Indie,Hindi,324,6,0.71,0.151,-9.45,0.205,0.688,0.514,0.766,0.222,69.17
S0012,Song_0012,Artist_093,Country,Hindi,348,17,0.881,0.643,-6.57,0.163,0.085,0.743,0.62,0.418,135.41
S0013,Song_0013,Artist_094,Country,Tamil,232,51,0.39,0.747,-5.55,0.154,0.182,0.248,0.777,0.212,153.56
S0014,Song_0014,Artist_056,Pop,Hindi,212,38,0.551,0.664,-6.76,0.254,0.564,0.068,0.605,0.839,72.25
S0015,Song_0015,Artist_060,Classical,English,334,24,0.922,0.218,-13.17,0.232,0.536,0.637,0.165,0.327,142.39
S0016,Song_0016,Artist_010,Rock,Telugu,332,51,0.715,0.331,-9.24,0.155,0.705,0.435,0.08,0.607,97.23
S0017,Song_0017,Artist_039,Pop,Hindi,209,10,0.503,0.358,-7.7,0.051,0.774,0.807,0.475,0.518,159.35
S0018,Song_0018,Artist_028,Hip-Hop,English,248,72,0.303,0.84,-3.96,0.052,0.131,0.884,0.306,0.098,130.15
S0019,Song_0019,Artist_049,Electronic,Hindi,211,21,0.405,0.534,-9.23,0.244,0.027,0.359,0.242,0.926,76.77
S0020,Song_0020,Artist_036,Jazz,Tamil,179,70,0.653,0.554,-3.06,0.168,0.658,0.374,0.652,0.54,128.45
S0021,Song_0021,Artist_013,Indie,English,171,85,0.76,0.926,-9.28,0.155,0.293,0.367,0.313,0.352,111.45
S0022,Song_0022,Artist_096,R&B,English,352,57,0.297,0.679,-7.87,0.211,0.598,0.292,0.274,0.197,83.45
S0023,Song_0023,Artist_036,Electronic,English,275,39,0.668,0.896,-4.65,0.26,0.152,0.704,0.684,0.365,169.4
S0024,Song_0024,Artist_026,Country,English,306,88,0.629,0.529,-7.42,0.196,0.451,0.683,0.682,0.069,61.43
S0025,Song_0025,Artist_086,Electronic,English,318,33,0.601,0.274,-2.52,0.234,0.484,0.431,0.304,0.388,100.58
S0026,Song_0026,Artist_004,Indie,Hindi,191,59,0.738,0.922,-6.42,0.234,0.56,0.04,0.671,0.544,61.64
S0027,Song_0027,Artist_095,Rock,English,247,18,0.853,0.531,-8.2,0.12,0.492,0.279,0.685,0.861,72.48
S0028,Song_0028,Artist_082,Hip-Hop,Spanish,342,56,0.452,0.301,-14.69,0.097,0.476,0.263,0.356,0.689,98.62
S0029,Song_0029,Artist_064,Jazz,Telugu,180,92,0.893,0.401,-9.62,0.244,0.323,0.73,0.081,0.154,67.06
S0030,Song_0030,Artist_038,Country,Hindi,307,57,0.325,0.192,-11.11,0.126,0.077,0.079,0.031,0.187,137.56
S0031,Song_0031,Artist_088,Country,Tamil,261,96,0.335,0.539,-5.27,0.273,0.094,0.725,0.433,0.448,71.29
S0032,Song_0032,Artist_087,Lo-Fi,English,295,76,0.408,0.858,-12.29,0.04,0.418,0.602,0.295,0.232,151.22
S0033,Song_0033,Artist_022,Classical,Hindi,271,48,0.293,0.925,-12.33,0.036,0.344,0.659,0.798,0.076,66.84
S0034,Song_0034,Artist_002,Rock,Hindi,166,42,0.38,0.924,-12.54,0.28,0.495,0.389,0.625,0.799,67.71
S0035,Song_0035,Artist_031,Country,Tamil,187,27,0.283,0.254,-13.37,0.202,0.297,0.612,0.616,0.068,99.69
S0036,Song_0036,Artist_011,Classical,Telugu,291,74,0.841,0.467,-10.96,0.126,0.657,0.548,0.766,0.823,176.55
S0037,Song_0037,Artist_092,Country,English,356,52,0.308,0.173,-3.48,0.231,0.822,0.692,0.714,0.184,143.38
S0038,Song_0038,Artist_046,Hip-Hop,Spanish,259,42,0.783,0.86,-4.93,0.208,0.291,0.402,0.275,0.956,160.12
S0039,Song_0039,Artist_096,Classical,English,333,32,0.237,0.448,-5.44,0.169,0.191,0.426,0.158,0.612,78.4
S0040,Song_0040,Artist_062,Indie,Tamil,171,26,0.94,0.674,-4.63,0.048,0.119,0.579,0.604,0.734,168.44
S0041,Song_0041,Artist_069,Lo-Fi,Spanish,344,25,0.755,0.743,-11.5,0.247,0.589,0.097,0.321,0.153,61.06
S0042,Song_0042,Artist_064,Hip-Hop,English,205,75,0.205,0.507,-3.46,0.262,0.427,0.393,0.394,0.852,87.7
S0043,Song_0043,Artist_010,Indie,Telugu,268,23,0.796,0.404,-13.22,0.068,0.187,0.875,0.515,0.83,140.09
S0044,Song_0044,Artist_040,Jazz,English,296,98,0.601,0.949,-10.63,0.258,0.624,0.034,0.729,0.657,108.78
S0045,Song_0045,Artist_024,Rock,English,206,57,0.808,0.951,-7.37,0.266,0.15,0.284,0.353,0.517,187.95
S0046,Song_0046,Artist_099,Rock,Hindi,321,52,0.608,0.39,-13.66,0.174,0.531,0.283,0.633,0.721,63.94
S0047,Song_0047,Artist_044,R&B,Hindi,184,87,0.7,0.548,-5.51,0.204,0.506,0.57,0.237,0.056,189.82
S0048,Song_0048,Artist_060,R&B,Spanish,263,93,0.813,0.957,-9.97,0.127,0.7,0.095,0.567,0.601,141.07
S0049,Song_0049,Artist_062,Classical,Telugu,274,31,0.516,0.154,-4.8,0.099,0.062,0.566,0.031,0.838,132.63
S0050,Song_0050,Artist_087,Rock,Hindi,278,64,0.202,0.493,-8.59,0.222,0.845,0.086,0.701,0.382,67.74
S0051,Song_0051,Artist_017,Classical,Telugu,201,71,0.863,0.233,-12.65,0.261,0.671,0.085,0.053,0.151,95.53
S0052,Song_0052,Artist_065,R&B,Spanish,234,33,0.497,0.573,-5.45,0.203,0.213,0.655,0.579,0.441,180.21
S0053,Song_0053,Artist_095,Jazz,English,347,85,0.587,0.17,-11.72,0.163,0.182,0.292,0.066,0.726,106.05
S0054,Song_0054,Artist_095,Country,Spanish,314,2,0.206,0.488,-8.62,0.064,0.416,0.88,0.235,0.15,146.01
S0055,Song_0055,Artist_057,Indie,English,214,18,0.584,0.333,-14.02,0.035,0.779,0.034,0.413,0.242,189.93
S0056,Song_0056,Artist_055,Electronic,Telugu,328,47,0.969,0.593,-6.97,0.145,0.802,0.401,0.353,0.187,94.2
S0057,Song_0057,Artist_053,Classical,English,278,33,0.417,0.977,-6.34,0.034,0.499,0.102,0.178,0.791,134.89
S0058,Song_0058,Artist_056,Jazz,English,170,98,0.508,0.814,-10.08,0.179,0.819,0.316,0.287,0.108,150.54
S0059,Song_0059,Artist_098,Indie,English,330,84,0.736,0.852,-2.59,0.127,0.015,0.898,0.59,0.689,81.4
S0060,Song_0060,Artist_009,Rock,Hindi,165,35,0.836,0.677,-3.64,0.232,0.043,0.8,0.545,0.391,79.33
S0061,Song_0061,Artist_022,Country,English,272,51,0.526,0.184,-5.8,0.106,0.867,0.043,0.085,0.753,119.32
S0062,Song_0062,Artist_013,Indie,English,210,18,0.442,0.322,-5.72,0.186,0.739,0.507,0.605,0.947,110.16
S0063,Song_0063,Artist_089,Lo-Fi,Hindi,203,88,0.932,0.918,-11.72,0.171,0.434,0.583,0.071,0.157,152.85
S0064,Song_0064,Artist_048,R&B,Tamil,317,72,0.728,0.454,-6.46,0.021,0.718,0.189,0.448,0.342,69.04
S0065,Song_0065,Artist_018,Indie,English,175,30,0.293,0.236,-12.42,0.04,0.908,0.131,0.23,0.803,186.38
S0066,Song_0066,Artist_076,Electronic,English,229,44,0.254,0.733,-13.13,0.101,0.736,0.814,0.483,0.298,61.86
S0067,Song_0067,Artist_040,Jazz,English,214,53,0.577,0.399,-2.01,0.267,0.802,0.872,0.231,0.25,138.17
S0068,Song_0068,Artist_017,Country,English,249,10,0.372,0.373,-6.91,0.061,0.725,0.893,0.788,0.818,133.14
S0069,Song_0069,Artist_015,Hip-Hop,Tamil,223,87,0.398,0.978,-9.4,0.219,0.168,0.711,0.268,0.968,77.51
S0070,Song_0070,Artist_015,Indie,Tamil,341,52,0.885,0.862,-11.25,0.293,0.794,0.597,0.216,0.568,79.62
S0071,Song_0071,Artist_079,Pop,Hindi,320,49,0.27,0.489,-7.15,0.241,0.193,0.311,0.244,0.309,163.05
S0072,Song_0072,Artist_063,Electronic,English,166,11,0.758,0.964,-14.36,0.088,0.849,0.154,0.72,0.421,175.38
S0073,Song_0073,Artist_039,Electronic,Telugu,270,66,0.411,0.69,-13.77,0.274,0.441,0.071,0.52,0.208,96.79
S0074,Song_0074,Artist_013,Pop,Hindi,336,58,0.793,0.766,-14.57,0.046,0.646,0.624,0.593,0.759,116.94
S0075,Song_0075,Artist_081,Lo-Fi,Tamil,172,90,0.763,0.176,-8.51,0.151,0.477,0.706,0.737,0.769,106.15
S0076,Song_0076,Artist_032,Hip-Hop,Hindi,284,36,0.206,0.251,-7.19,0.269,0.098,0.744,0.732,0.864,69.43
S0077,Song_0077,Artist_009,R&B,Telugu,321,33,0.597,0.675,-14.19,0.2,0.283,0.822,0.599,0.075,147.52
S0078,Song_0078,Artist_040,Jazz,Hindi,330,47,0.309,0.896,-5.62,0.136,0.935,0.792,0.182,0.573,167.28
