user_id,age,gender,preferred_genre,preferred_language
U0001,54,Female,Jazz,English
U0002,44,Female,Classical,English
U0003,30,Male,Rock,Spanish
U0004,58,Female,R&B,English
U0005,23,Male,Electronic,Spanish
U0006,36,Female,Hip-Hop,Telugu
U0007,54,Male,Classical,Tamil
U0008,34,Male,Jazz,English
U0009,38,Male,Classical,English
U0010,26,Male,R&B,Telugu
U0011,26,Female,Jazz,Tamil
U0012,39,Female,R&B,Telugu
U0013,51,Male,Classical,English
U0014,55,Female,Rock,Telugu
U0015,39,Male,R&B,Telugu
U0016,18,Female,Jazz,Hindi
U0017,37,Female,Jazz,Telugu
U0018,17,Female,R&B,Tamil
U0019,39,Male,Indie,Hindi
U0020,59,Female,Classical,English
U0021,45,Female,Indie,Hindi
U0022,53,Male,Country,English
U0023,17,Male,Classical,English
U0024,36,Female,R&B,English
U0025,48,Female,Pop,English
U0026,27,Female,R&B,English
U0027,37,Female,Indie,English
U0028,59,Female,Rock,Telugu
U0029,40,Male,R&B,Spanish
U0030,42,Male,R&B,English
U0031,57,Male,Rock,Spanish
U0032,43,Female,R&B,Hindi
U0033,31,Male,Electronic,English
U0034,30,Female,Pop,English
U0035,59,Female,Hip-Hop,Hindi
U0036,18,Female,Pop,Telugu
U0037,52,Male,R&B,Telugu
U0038,22,Female,Electronic,English
U0039,36,Male,Classical,English
U0040,24,Female,R&B,English
U0041,54,Male,Indie,English
U0042,33,Male,Electronic,English
U0043,19,Female,Rock,English
U0044,40,Male,Electronic,Telugu
U0045,29,Male,Rock,Spanish
U0046,24,Female,Country,English
U0047,41,Female,Hip-Hop,Tamil
U0048,17,Female,Lo-Fi,English
U0049,35,Female,Electronic,Hindi
U0050,43,Female,Jazz,English
U0051,22,Male,Indie,Hindi
U0052,59,Male,R&B,Spanish
U0053,23,Male,Indie,Hindi
U0054,50,Female,Pop,English
U0055,29,Female,Lo-Fi,Hindi
U0056,32,Male,Pop,English
U0057,51,Male,Country,Tamil
U0058,55,Female,Lo-Fi,Hindi
U0059,19,Male,Lo-Fi,English
U0060,17,Female,Pop,Hindi
U0061,21,Female,Rock,Hindi
U0062,57,Female,Pop,English
U0063,19,Male,Indie,Telugu
U0064,44,Female,Rock,English
U0065,33,Female,Indie,Telugu
U0066,41,Female,Country,Tamil
U0067,59,Female,R&B,Telugu
U0068,49,Female,Classical,Hindi
